index,data,seed,e,kappa,cl_ml_ratio,ml_sat,ml_unsat,cl_sat,cl_unsat,lambda_minus,lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_slvr_status,p2_clause_gen,p2_solver,p2_total,total_time,final_slvr_status,total_slvr_time
84,ionosphere,1732,0.1,1.5,1,255,27,207,37,3577,99,0.701987225,SATISFIABLE,0.39588,900.01324,900.47263,OPTIMUM,0.40809,10.06041,10.7513,911.22393,SATISFIABLE,910.07365
85,ionosphere,1732,0.1,1.5,2,257,25,217,27,3577,174,0.752842742,SATISFIABLE,0.38365,900.0131,900.45938,OPTIMUM,0.41961,2.95669,3.68001,904.13939,SATISFIABLE,902.96979
86,ionosphere,1732,0.1,1.5,3,244,38,203,41,3577,56,0.55607127,SATISFIABLE,0.40327,900.01254,900.483,OPTIMUM,0.38375,40.63733,41.29428,941.77728,SATISFIABLE,940.64987
87,ionosphere,1732,0.1,1.5,5,242,40,214,30,3577,15,0.693571757,SATISFIABLE,0.37775,900.01557,900.48297,OPTIMUM,0.38998,14.46403,15.115,915.59797,SATISFIABLE,914.4796
88,ionosphere,1732,0.1,1.75,1,309,23,254,28,3577,99,0.732556202,SATISFIABLE,0.38732,900.01549,900.46683,OPTIMUM,0.38066,3.10435,3.74873,904.21556,SATISFIABLE,903.11984
89,ionosphere,1732,0.1,1.75,2,309,23,246,36,3577,99,0.772033705,SATISFIABLE,0.38682,900.01525,900.46159,OPTIMUM,0.4093,12.84112,13.54923,914.01082,SATISFIABLE,912.85637
90,ionosphere,1732,0.1,1.75,3,304,28,250,32,3577,99,0.762129394,SATISFIABLE,0.39812,900.01663,900.4815,OPTIMUM,0.3941,2.70474,3.39335,903.87485,SATISFIABLE,902.72137
91,ionosphere,1732,0.1,1.75,5,309,23,246,36,3577,99,0.772033705,SATISFIABLE,0.40683,900.01283,900.48423,OPTIMUM,0.40952,10.09487,10.80009,911.28432,SATISFIABLE,910.1077
92,ionosphere,1732,0.1,2,1,347,36,267,52,3577,99,0.682677684,SATISFIABLE,0.40564,900.0147,900.49574,OPTIMUM,0.39848,15.96333,16.64543,917.14117,SATISFIABLE,915.97803
93,ionosphere,1732,0.1,2,2,344,39,285,34,3575,99,0.742816954,SATISFIABLE,0.39545,900.01517,900.47658,OPTIMUM,0.38405,13.03254,13.69962,914.1762,SATISFIABLE,913.04771
94,ionosphere,1732,0.1,2,3,353,30,277,42,3577,99,0.772033705,SATISFIABLE,0.37218,900.01758,900.49019,OPTIMUM,0.40352,2.76904,3.47863,903.96882,SATISFIABLE,902.78662
95,ionosphere,1732,0.1,2,5,339,44,289,30,3577,99,0.772958669,SATISFIABLE,0.38872,900.01354,900.46565,OPTIMUM,0.40372,12.39142,13.09156,913.55721,SATISFIABLE,912.40496
96,iris,1732,0.1,0.1,1,4,0,11,0,755,36,0.8857921,OPTIMUM,0.05963,0.11042,0.19463,OPTIMUM,0.05978,0.37651,1.10367,1.2983,OPTIMUM,0.48693
97,iris,1732,0.1,0.1,2,4,0,11,0,755,36,0.8857921,OPTIMUM,0.05791,0.10937,0.18044,OPTIMUM,0.06217,0.3663,1.10589,1.28633,OPTIMUM,0.47567
98,iris,1732,0.1,0.1,3,4,0,11,0,755,36,0.8857921,OPTIMUM,0.05923,0.1134,0.1864,OPTIMUM,0.06467,0.2434,1.00951,1.19591,OPTIMUM,0.3568
99,iris,1732,0.1,0.1,5,4,0,11,0,755,36,0.8857921,OPTIMUM,0.05777,0.1116,0.18425,OPTIMUM,0.06493,0.29828,1.0618,1.24605,OPTIMUM,0.40988
100,iris,1732,0.1,0.25,1,14,0,23,0,755,24,0.788044357,OPTIMUM,0.0553,0.05972,0.12744,OPTIMUM,0.06152,0.31077,0.88895,1.01639,OPTIMUM,0.37049
101,iris,1732,0.1,0.25,2,14,0,23,0,755,24,0.788044357,OPTIMUM,0.05574,0.06892,0.14752,OPTIMUM,0.0615,0.30102,0.87406,1.02158,OPTIMUM,0.36994
