data,seed,e,kappa,cl_ml_ratio,pareto_index,ml_sat,ml_unsat,cl_sat,cl_unsat,lm_lambda_minus,lm_lambda_plus,lp_lambda_minus,lp_lambda_plus,ARI,p1_slvr_status,p1_clause_gen,p1_solver,p1_total,p2_lm_slvr_status,p2_lm_clause_gen,p2_lm_solver,p2_lm_total,p2_lp_slvr_status,p2_lp_clause_gen,p2_lp_solver,p2_lp_total,total_slvr_time
iris,3556,0.1,0.1,1,1,5.0,0.0,10.0,0.0,0,0,,,,OPTIMUM,0.05765,0.09768,0.17827,UNSATISFIABLE,0.06598,0.10947,1.14046,,,,,0.28774
iris,3556,0.1,0.25,1,3,15.0,0.0,22.0,0.0,0,0,,,,OPTIMUM,0.06358,0.07584,0.16002,UNSATISFIABLE,0.06661,0.074,0.52826,,,,,0.23402
iris,3556,0.1,0.5,1,1,23.0,0.0,52.0,0.0,0,0,,,,OPTIMUM,0.05626,0.07692,0.15584,UNSATISFIABLE,0.06556,0.08843,0.52663,,,,,0.24427
iris,3556,0.1,0.7,1,1,33.0,0.0,72.0,0.0,0,0,,,,OPTIMUM,0.06201,0.06386,0.13947,UNSATISFIABLE,0.06628,0.07637,0.49627,,,,,0.21584
iris,3556,0.1,1.0,1,1,44.0,0.0,106.0,0.0,0,0,,,,OPTIMUM,0.05724,0.09975,0.17993,UNSATISFIABLE,0.06484,0.07109,0.45771,,,,,0.25102
iris,3556,0.1,1.5,1,1,72.0,1.0,152.0,0.0,0,0,,,,OPTIMUM,0.05562,0.26081,0.34012,UNSATISFIABLE,0.06407,0.0712,0.30898,,,,,0.4113199999999999
iris,3556,0.1,1.75,1,1,83.0,1.0,178.0,0.0,0,0,,,,OPTIMUM,0.05878,0.44612,0.52343,UNSATISFIABLE,0.09669,0.06849,0.32232,,,,,0.59192
iris,3556,0.1,2.0,1,1,97.0,1.0,201.0,1.0,0,0,,,,OPTIMUM,0.05657,0.38113,0.45414,UNSATISFIABLE,0.09456,0.07123,0.27798,,,,,0.52537
libras,1732,0.1,0.0,1,0,,,,,2186,8,,,,,,,0.0,SATISFIABLE,7.65933,5414.06604,5483.50362,,,,,5414.06604
libras,1732,0.1,0.1,1,4,3.0,0.0,33.0,0.0,0,0,,,,OPTIMUM,7.81987,25.72582,34.77554,UNSATISFIABLE,7.74208,23.18886,32.8729,,,,,57.9644
libras,1732,0.1,0.25,1,4,10.0,0.0,80.0,0.0,0,0,,,,OPTIMUM,8.0016,45.3201,54.50915,UNSATISFIABLE,7.57423,19.3072,28.84749,,,,,73.81635
